family,dataset,method,source_method,ARI,ACC,RareACC,UltraRareACC,Batch correction
Rare Specific,BBAG094 Zeisel,scRAW,scRAW (trial_0017),0.4301883295024661,0.6407185628742516,0.6108108108108108,0.5555555555555556,0.4000360971162749
Rare Specific,BBAG094 spleen,scRAW,scRAW (trial_0017),0.8700744463231944,0.8291457286432161,0.5285326086956522,0.9761904761904762,0.7909291345199329
Rare Specific,Baron human pancreas,scRAW,scRAW (trial_0017),0.9158965181979905,0.9337145524565292,0.8955637707948244,0.8135593220338984,0.5749552605057935
Rare Specific,Human testis GSE112013,scRAW,scRAW (trial_0017),0.6107002323051303,0.7178736517719568,0.9667013527575442,0.6428571428571429,0.7303536766041685
Rare Specific,Kang PBMC,scRAW,scRAW (trial_0017),0.5459843343891061,0.7057650028499308,0.678125,0.8173076923076923,0.6843171205513716
Rare Specific,Macaque retina bipolar,scRAW,scRAW (trial_0017),0.9244654129213528,0.9366708468087916,0.957920792079208,0.6802721088435374,0.6374791031394675
Rare Specific,Paul15 bone marrow,scRAW,scRAW (trial_0017),0.2832245907007426,0.4161172161172161,0.1263616557734204,0.0,0.6825639410339949
Rare Specific,Tabula Muris liver,scRAW,scRAW (trial_0017),0.6827909308919632,0.745715285064708,0.3228699551569506,,0.8705477948080688
Rare Specific,BBAG094 Zeisel,scAIDE,scAIDE,0.6955293827796469,0.8349966733200266,0.8108108108108109,0.6666666666666666,0.3563781659048055
Rare Specific,BBAG094 spleen,scAIDE,scAIDE,0.9336405125695943,0.9567629815745392,0.6820652173913043,0.0,0.6896961162538213
Rare Specific,Baron human pancreas,scAIDE,scAIDE,0.7944032035035324,0.749912475201307,0.6349353049907579,0.6271186440677966,0.61426277412671
Rare Specific,Human testis GSE112013,scAIDE,scAIDE,0.611075044980888,0.7263482280431433,0.8439125910509886,0.9285714285714286,0.7822467538882234
Rare Specific,Kang PBMC,scAIDE,scAIDE,0.8112042439517504,0.7320657926878918,0.2203125,0.0576923076923076,0.5008472926355257
Rare Specific,Macaque retina bipolar,scAIDE,scAIDE,0.8734328229419214,0.8999735991023695,0.9220297029702972,0.0068027210884353,0.4506611362064868
